Date,Open,High,Low,Close,Adj Close,Volume
2007-05-03,21.750000,21.950001,20.549999,20.719999,20.719999,8052800
2007-05-04,21.250000,21.350000,20.700001,20.980000,20.980000,5437300
2007-05-07,21.200001,21.290001,20.200001,20.360001,20.360001,2646300
2007-05-08,20.000000,20.000000,19.299999,19.629999,19.629999,4166100
2007-05-09,19.750000,20.200001,19.629999,19.790001,19.790001,7541100
2007-05-10,19.790001,19.990000,19.549999,19.700001,19.700001,3170600
2007-05-11,19.709999,19.799999,19.110001,19.299999,19.299999,3539400
2007-05-14,19.150000,19.389999,18.750000,18.889999,18.889999,1924800
2007-05-15,18.650000,18.850000,18.150000,18.200001,18.200001,3438700
2007-05-16,18.059999,18.480000,18.020000,18.340000,18.340000,2607600
2007-05-17,18.799999,19.750000,18.670000,19.020000,19.020000,8979000
2007-05-18,19.469999,19.490000,18.540001,19.309999,19.309999,6562200
2007-05-21,19.200001,19.340000,19.000000,19.000000,19.000000,2077700
2007-05-22,19.100000,19.530001,19.000000,19.480000,19.480000,4014700
2007-05-23,19.500000,19.700001,19.100000,19.209999,19.209999,2387100
2007-05-24,19.209999,19.330000,18.850000,19.020000,19.020000,2362000
2007-05-25,19.020000,19.049999,18.690001,18.760000,18.760000,895000
2007-05-29,18.910000,19.200001,18.850000,19.090000,19.090000,2918800
2007-05-30,19.049999,19.150000,18.809999,18.980000,18.980000,2829300
2007-05-31,19.150000,19.280001,19.030001,19.049999,19.049999,3435200
2007-06-01,19.100000,19.799999,19.049999,19.549999,19.549999,2299400
2007-06-04,18.700001,19.049999,18.690001,18.840000,18.840000,5692700
2007-06-05,18.850000,19.040001,18.730000,18.950001,18.950001,4510000
2007-06-06,18.700001,18.930000,18.650000,18.930000,18.930000,2595300
2007-06-07,18.770000,18.850000,18.150000,18.480000,18.480000,3062100
2007-06-08,18.200001,18.830000,18.200001,18.830000,18.830000,2124100
2007-06-11,18.549999,18.820000,18.219999,18.379999,18.379999,1870000
2007-06-12,18.150000,18.709999,18.020000,18.400000,18.400000,8636200
2007-06-13,18.480000,18.700001,18.360001,18.639999,18.639999,3110200
2007-06-14,18.500000,19.010000,18.430000,18.900000,18.900000,8069700
2007-06-15,18.889999,19.139999,18.450001,18.879999,18.879999,3418900
2007-06-18,18.650000,18.900000,18.500000,18.540001,18.540001,1339900
2007-06-19,18.590000,19.080000,18.549999,18.870001,18.870001,3113000
2007-06-20,19.000000,19.490000,18.820000,19.360001,19.360001,4031500
2007-06-21,19.200001,19.600000,19.020000,19.510000,19.510000,3985700
2007-06-22,19.500000,19.850000,19.370001,19.750000,19.750000,11822000
2007-06-25,19.690001,19.740000,19.110001,19.430000,19.430000,1974400
2007-06-26,19.500000,19.660000,19.270000,19.490000,19.490000,2237000
2007-06-27,19.400000,19.590000,19.129999,19.420000,19.420000,2216000
2007-06-28,19.750000,19.889999,19.620001,19.670000,19.670000,2547200
2007-06-29,19.549999,19.830000,19.510000,19.700001,19.700001,2022200
2007-07-02,19.570000,19.760000,19.530001,19.580000,19.580000,1831600
2007-07-03,19.709999,20.260000,19.709999,20.250000,20.250000,2960900
2007-07-05,20.010000,20.730000,19.920000,20.520000,20.520000,2640100
2007-07-06,20.549999,20.900000,20.379999,20.830000,20.830000,1966900
2007-07-09,20.940001,21.389999,20.860001,21.330000,21.330000,2872800
2007-07-10,21.180000,21.250000,20.530001,20.650000,20.650000,2367100
2007-07-11,20.180000,20.590000,20.000000,20.120001,20.120001,2387700
