类别：所有类别

月份,microsoft: (全球)
2004-01,93
2004-02,100
2004-03,88
2004-04,90
2004-05,100
2004-06,85
2004-07,83
2004-08,84
2004-09,88
2004-10,86
2004-11,82
2004-12,79
2005-01,88
2005-02,90
2005-03,84
2005-04,83
2005-05,79
2005-06,76
2005-07,78
2005-08,85
2005-09,80
2005-10,78
2005-11,77
2005-12,76
2006-01,82
2006-02,76
2006-03,76
2006-04,70
2006-05,69
2006-06,68
2006-07,66
2006-08,69
2006-09,69
2006-10,71
2006-11,75
2006-12,70
2007-01,75
2007-02,74
2007-03,69
2007-04,64
2007-05,64
2007-06,61
2007-07,60
2007-08,60
2007-09,62
2007-10,63
2007-11,61
2007-12,59
2008-01,61
2008-02,65
2008-03,61
2008-04,60
2008-05,57
2008-06,54
2008-07,54
2008-08,55
2008-09,59
2008-10,58
2008-11,57
2008-12,57
2009-01,60
2009-02,58
2009-03,59
2009-04,56
2009-05,54
2009-06,54
2009-07,50
2009-08,52
2009-09,58
2009-10,61
2009-11,59
2009-12,56
2010-01,58
2010-02,59
2010-03,56
2010-04,54
2010-05,52
2010-06,51
2010-07,46
2010-08,49
2010-09,51
2010-10,52
2010-11,52
2010-12,48
2011-01,49
2011-02,49
2011-03,48
2011-04,45
2011-05,45
2011-06,42
2011-07,39
2011-08,40
2011-09,42
2011-10,42
2011-11,42
2011-12,38
2012-01,40
2012-02,39
2012-03,39
2012-04,38
2012-05,36
2012-06,39
2012-07,36
2012-08,38
2012-09,40
2012-10,42
2012-11,43
2012-12,37
2013-01,39
2013-02,40
2013-03,38
2013-04,36
2013-05,35
2013-06,33
2013-07,33
2013-08,34
2013-09,39
2013-10,38
2013-11,38
2013-12,35
2014-01,35
2014-02,36
2014-03,35
2014-04,35
2014-05,33
2014-06,31
2014-07,30
2014-08,32
2014-09,36
2014-10,34
2014-11,35
2014-12,33
2015-01,34
2015-02,33
2015-03,34
2015-04,32
2015-05,33
2015-06,32
2015-07,32
2015-08,35
2015-09,35
2015-10,36
2015-11,34
2015-12,33
2016-01,32
2016-02,31
2016-03,31
2016-04,29
2016-05,28
2016-06,28
2016-07,26
2016-08,28
2016-09,30
2016-10,30
2016-11,31
2016-12,27
2017-01,27
2017-02,27
2017-03,28
2017-04,25
2017-05,29
