类别：所有类别

月份,united airline: (全球)
2004-01,94
2004-02,91
2004-03,92
2004-04,87
2004-05,90
2004-06,95
2004-07,100
2004-08,92
2004-09,78
2004-10,75
2004-11,67
2004-12,70
2005-01,93
2005-02,84
2005-03,85
2005-04,79
2005-05,87
2005-06,87
2005-07,85
2005-08,87
2005-09,70
2005-10,66
2005-11,68
2005-12,69
2006-01,74
2006-02,72
2006-03,73
2006-04,78
2006-05,68
2006-06,74
2006-07,77
2006-08,82
2006-09,63
2006-10,58
2006-11,60
2006-12,67
2007-01,69
2007-02,66
2007-03,65
2007-04,63
2007-05,58
2007-06,69
2007-07,65
2007-08,66
2007-09,55
2007-10,55
2007-11,51
2007-12,54
2008-01,57
2008-02,57
2008-03,56
2008-04,58
2008-05,53
2008-06,57
2008-07,55
2008-08,50
2008-09,39
2008-10,35
2008-11,31
2008-12,37
2009-01,38
2009-02,32
2009-03,34
2009-04,36
2009-05,33
2009-06,32
2009-07,33
2009-08,32
2009-09,27
2009-10,26
2009-11,25
2009-12,28
2010-01,28
2010-02,29
2010-03,27
2010-04,30
2010-05,31
2010-06,30
2010-07,30
2010-08,29
2010-09,26
2010-10,24
2010-11,24
2010-12,25
2011-01,24
2011-02,26
2011-03,25
2011-04,24
2011-05,23
2011-06,26
2011-07,24
2011-08,24
2011-09,22
2011-10,20
2011-11,18
2011-12,19
2012-01,21
2012-02,19
2012-03,27
2012-04,28
2012-05,32
2012-06,29
2012-07,29
2012-08,29
2012-09,25
2012-10,24
2012-11,22
2012-12,23
2013-01,24
2013-02,23
2013-03,24
2013-04,23
2013-05,24
2013-06,23
2013-07,24
2013-08,23
2013-09,22
2013-10,22
2013-11,21
2013-12,22
2014-01,26
2014-02,23
2014-03,24
2014-04,24
2014-05,24
2014-06,24
2014-07,25
2014-08,23
2014-09,21
2014-10,20
2014-11,19
2014-12,20
2015-01,21
2015-02,21
2015-03,22
2015-04,21
2015-05,21
2015-06,23
2015-07,24
2015-08,22
2015-09,20
2015-10,20
2015-11,19
2015-12,20
2016-01,23
2016-02,20
2016-03,21
2016-04,21
2016-05,22
2016-06,25
2016-07,25
2016-08,23
2016-09,20
2016-10,20
2016-11,20
2016-12,22
2017-01,22
2017-02,25
2017-03,24
2017-04,99
2017-05,35
