Time,balance-total,balance-goods,balance-service,exports-total,exports-goods,exports-service,imports-total,imports-goods,imports-service
1992,,,,,,,,,
Jan. - Dec.,"-39,212","-96,897","57,685","616,882","439,631","177,251","656,094","536,528","119,566"
January,"-2,026","-6,952","4,926","50,251","35,498","14,753","52,277","42,450","9,827"
February,-831,"-5,593","4,762","51,682","36,854","14,828","52,513","42,447","10,066"
March,"-2,641","-7,355","4,714","50,294","35,711","14,583","52,935","43,066","9,869"
April,"-3,109","-8,284","5,175","50,302","35,439","14,863","53,411","43,723","9,688"
May,"-3,919","-8,720","4,801","50,044","35,403","14,641","53,963","44,123","9,840"
June,"-2,824","-7,538","4,714","51,727","37,099","14,628","54,551","44,637","9,914"
July,"-2,781","-7,433","4,652","52,533","37,753","14,780","55,313","45,185","10,128"
August,"-4,455","-9,317","4,862","50,940","36,051","14,889","55,395","45,368","10,027"
September,"-3,530","-8,451","4,921","51,984","37,043","14,941","55,515","45,495","10,020"
October,"-3,520","-8,354","4,834","53,035","37,997","15,038","56,556","46,352","10,204"
November,"-3,968","-8,714","4,746","52,246","37,519","14,727","56,214","46,233","9,981"
December,"-5,603","-10,185","4,582","51,843","37,264","14,579","57,446","47,449","9,997"
1993,,,,,,,,,
Jan. - Dec.,"-70,311","-132,451","62,141","642,863","456,943","185,920","713,174","589,394","123,780"
January,"-3,871","-9,001","5,130","52,568","37,411","15,157","56,439","46,412","10,027"
February,"-3,596","-9,167","5,571","52,480","37,002","15,478","56,076","46,169","9,907"
March,"-6,777","-12,064","5,287","53,035","37,686","15,349","59,813","49,751","10,062"
April,"-6,445","-11,674","5,229","53,139","37,589","15,550","59,584","49,263","10,321"
May,"-4,369","-9,682","5,313","54,229","38,821","15,408","58,598","48,503","10,095"
June,"-6,929","-12,187","5,258","52,346","36,847","15,499","59,275","49,034","10,241"
July,"-6,382","-11,681","5,299","52,818","37,215","15,603","59,200","48,896","10,304"
August,"-5,581","-11,020","5,439","53,224","37,561","15,663","58,805","48,581","10,224"
September,"-7,031","-12,080","5,049","53,648","38,206","15,442","60,679","50,286","10,393"
October,"-6,594","-11,775","5,181","55,476","39,511","15,965","62,069","51,285","10,784"
November,"-7,016","-11,447","4,431","54,345","39,254","15,091","61,361","50,701","10,660"
December,"-5,719","-10,673","4,954","55,552","39,841","15,711","61,271","50,514","10,757"
1994,,,,,,,,,
Jan. - Dec.,"-98,493","-165,831","67,338","703,254","502,859","200,395","801,747","668,690","133,057"
January,"-6,207","-11,043","4,836","55,159","39,721","15,438","61,365","50,763","10,602"
